{'loss': 2.9756, 'grad_norm': 2.872349262237549, 'learning_rate': 4.444444444444445e-06, 'epoch': 0.03}
{'loss': 2.7432, 'grad_norm': 2.447554588317871, 'learning_rate': 8.88888888888889e-06, 'epoch': 0.05}
{'loss': 2.3406, 'grad_norm': 1.6038579940795898, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.08}
{'loss': 1.9739, 'grad_norm': 0.49757668375968933, 'learning_rate': 1.777777777777778e-05, 'epoch': 0.11}
{'loss': 1.9406, 'grad_norm': 0.40715292096138, 'learning_rate': 2.2222222222222223e-05, 'epoch': 0.13}
{'loss': 1.8899, 'grad_norm': 0.3674539029598236, 'learning_rate': 2.6666666666666667e-05, 'epoch': 0.16}
{'loss': 1.9221, 'grad_norm': 0.4186677932739258, 'learning_rate': 3.111111111111111e-05, 'epoch': 0.19}
{'loss': 1.8945, 'grad_norm': 0.3938821852207184, 'learning_rate': 3.555555555555556e-05, 'epoch': 0.21}
{'loss': 1.846, 'grad_norm': 0.5290045738220215, 'learning_rate': 4e-05, 'epoch': 0.24}
{'loss': 1.9024, 'grad_norm': 0.3801916241645813, 'learning_rate': 4.4444444444444447e-05, 'epoch': 0.27}
{'loss': 1.84, 'grad_norm': 0.46362364292144775, 'learning_rate': 4.888888888888889e-05, 'epoch': 0.29}
{'loss': 1.8569, 'grad_norm': 0.5115700960159302, 'learning_rate': 4.9993231029486544e-05, 'epoch': 0.32}
{'loss': 1.8544, 'grad_norm': 0.4772515296936035, 'learning_rate': 4.9963154107272295e-05, 'epoch': 0.35}
{'loss': 1.8468, 'grad_norm': 0.4141005277633667, 'learning_rate': 4.9909046049328846e-05, 'epoch': 0.37}
{'loss': 1.882, 'grad_norm': 0.5028170347213745, 'learning_rate': 4.983095894354858e-05, 'epoch': 0.4}
{'eval_loss': 1.8631107807159424, 'eval_runtime': 58.6498, 'eval_samples_per_second': 13.64, 'eval_steps_per_second': 6.82, 'epoch': 0.4}
{'loss': 1.906, 'grad_norm': 0.468537837266922, 'learning_rate': 4.972896796159568e-05, 'epoch': 0.43}
{'loss': 1.8287, 'grad_norm': 0.4900299608707428, 'learning_rate': 4.960317128654108e-05, 'epoch': 0.45}
{'loss': 1.8222, 'grad_norm': 0.49784010648727417, 'learning_rate': 4.9453690018345144e-05, 'epoch': 0.48}
{'loss': 1.8292, 'grad_norm': 0.5475443005561829, 'learning_rate': 4.9280668057279014e-05, 'epoch': 0.51}
{'loss': 1.812, 'grad_norm': 0.4995882511138916, 'learning_rate': 4.9084271965397014e-05, 'epoch': 0.53}
{'loss': 1.8774, 'grad_norm': 0.49464285373687744, 'learning_rate': 4.88646908061933e-05, 'epoch': 0.56}
{'loss': 1.8495, 'grad_norm': 0.5196463465690613, 'learning_rate': 4.86221359625972e-05, 'epoch': 0.59}
{'loss': 1.8807, 'grad_norm': 0.5362670421600342, 'learning_rate': 4.835684093348244e-05, 'epoch': 0.61}
{'loss': 1.8418, 'grad_norm': 0.642174243927002, 'learning_rate': 4.806906110888606e-05, 'epoch': 0.64}
{'loss': 1.8244, 'grad_norm': 0.5368673801422119, 'learning_rate': 4.775907352415367e-05, 'epoch': 0.67}
{'loss': 1.8392, 'grad_norm': 0.5039864778518677, 'learning_rate': 4.7427176593247334e-05, 'epoch': 0.69}
{'loss': 1.8399, 'grad_norm': 0.49544501304626465, 'learning_rate': 4.707368982147318e-05, 'epoch': 0.72}
{'loss': 1.818, 'grad_norm': 0.5019060969352722, 'learning_rate': 4.669895349790502e-05, 'epoch': 0.75}
{'loss': 1.8566, 'grad_norm': 0.45797526836395264, 'learning_rate': 4.6303328367800284e-05, 'epoch': 0.77}
{'loss': 1.8287, 'grad_norm': 0.519314169883728, 'learning_rate': 4.588719528532342e-05, 'epoch': 0.8}
{'eval_loss': 1.8421365022659302, 'eval_runtime': 58.6233, 'eval_samples_per_second': 13.646, 'eval_steps_per_second': 6.823, 'epoch': 0.8}
{'loss': 1.8822, 'grad_norm': 0.5356050729751587, 'learning_rate': 4.5450954846911195e-05, 'epoch': 0.83}
{'loss': 1.8134, 'grad_norm': 0.49330782890319824, 'learning_rate': 4.49950270056329e-05, 'epoch': 0.85}
{'loss': 1.7868, 'grad_norm': 0.5945481657981873, 'learning_rate': 4.4519850666916484e-05, 'epoch': 0.88}
{'loss': 1.8105, 'grad_norm': 0.6436498761177063, 'learning_rate': 4.402588326603002e-05, 'epoch': 0.91}
{'loss': 1.871, 'grad_norm': 0.5580206513404846, 'learning_rate': 4.351360032772512e-05, 'epoch': 0.93}
{'loss': 1.8574, 'grad_norm': 0.5615361928939819, 'learning_rate': 4.2983495008466276e-05, 'epoch': 0.96}
{'loss': 1.817, 'grad_norm': 0.6373531818389893, 'learning_rate': 4.2436077621686786e-05, 'epoch': 0.99}
{'loss': 1.8231, 'grad_norm': 0.6223466396331787, 'learning_rate': 4.1871875146528195e-05, 'epoch': 1.01}
{'loss': 1.7995, 'grad_norm': 0.5386872887611389, 'learning_rate': 4.129143072053638e-05, 'epoch': 1.04}
{'loss': 1.7486, 'grad_norm': 0.5770867466926575, 'learning_rate': 4.069530311680247e-05, 'epoch': 1.07}
{'loss': 1.8039, 'grad_norm': 0.5115090608596802, 'learning_rate': 4.0084066206051896e-05, 'epoch': 1.09}
{'loss': 1.8405, 'grad_norm': 0.550404965877533, 'learning_rate': 3.945830840419966e-05, 'epoch': 1.12}
{'loss': 1.8236, 'grad_norm': 0.6382367610931396, 'learning_rate': 3.881863210590332e-05, 'epoch': 1.15}
{'loss': 1.7674, 'grad_norm': 0.6699875593185425, 'learning_rate': 3.8165653104659185e-05, 'epoch': 1.17}
{'loss': 1.8126, 'grad_norm': 0.6170359253883362, 'learning_rate': 3.7500000000000003e-05, 'epoch': 1.2}
{'eval_loss': 1.8318188190460205, 'eval_runtime': 58.4784, 'eval_samples_per_second': 13.68, 'eval_steps_per_second': 6.84, 'epoch': 1.2}
{'loss': 1.7767, 'grad_norm': 0.6593673825263977, 'learning_rate': 3.6822313592364594e-05, 'epoch': 1.23}
{'loss': 1.8376, 'grad_norm': 0.6001558303833008, 'learning_rate': 3.613324626622224e-05, 'epoch': 1.25}
{'loss': 1.8269, 'grad_norm': 0.7283234596252441, 'learning_rate': 3.543346136204545e-05, 'epoch': 1.28}
{'loss': 1.7906, 'grad_norm': 0.7251139879226685, 'learning_rate': 3.4723632537735846e-05, 'epoch': 1.31}
{'loss': 1.79, 'grad_norm': 0.710658609867096, 'learning_rate': 3.400444312011776e-05, 'epoch': 1.33}
{'loss': 1.8401, 'grad_norm': 0.6398909091949463, 'learning_rate': 3.327658544712395e-05, 'epoch': 1.36}
{'loss': 1.7995, 'grad_norm': 0.6061434745788574, 'learning_rate': 3.254076020130664e-05, 'epoch': 1.39}
{'loss': 1.7969, 'grad_norm': 0.7629238963127136, 'learning_rate': 3.1797675735315455e-05, 'epoch': 1.41}
{'loss': 1.8213, 'grad_norm': 0.6151324510574341, 'learning_rate': 3.104804738999169e-05, 'epoch': 1.44}
{'loss': 1.8147, 'grad_norm': 0.6745815277099609, 'learning_rate': 3.0292596805735274e-05, 'epoch': 1.47}
{'loss': 1.7756, 'grad_norm': 0.7054240107536316, 'learning_rate': 2.9532051227807296e-05, 'epoch': 1.49}
