{'loss': 4.6203, 'grad_norm': 0.12197832763195038, 'learning_rate': 5.925925925925926e-06, 'epoch': 0.03}
{'loss': 4.569, 'grad_norm': 0.11291169375181198, 'learning_rate': 1.1851851851851852e-05, 'epoch': 0.05}
{'loss': 4.5022, 'grad_norm': 0.10194433480501175, 'learning_rate': 1.7777777777777777e-05, 'epoch': 0.08}
{'loss': 4.5211, 'grad_norm': 0.18108759820461273, 'learning_rate': 2.3703703703703703e-05, 'epoch': 0.11}
{'loss': 4.4317, 'grad_norm': 0.2656184434890747, 'learning_rate': 2.962962962962963e-05, 'epoch': 0.13}
{'loss': 4.3084, 'grad_norm': 0.3953911364078522, 'learning_rate': 3.555555555555555e-05, 'epoch': 0.16}
{'loss': 4.2178, 'grad_norm': 0.6888338327407837, 'learning_rate': 4.148148148148148e-05, 'epoch': 0.19}
{'loss': 4.0664, 'grad_norm': 1.1612712144851685, 'learning_rate': 4.711111111111112e-05, 'epoch': 0.21}
{'loss': 3.7865, 'grad_norm': 1.864863634109497, 'learning_rate': 5.303703703703704e-05, 'epoch': 0.24}
{'loss': 3.5355, 'grad_norm': 1.4250074625015259, 'learning_rate': 5.8962962962962966e-05, 'epoch': 0.27}
{'loss': 3.1545, 'grad_norm': 0.6894484162330627, 'learning_rate': 6.488888888888889e-05, 'epoch': 0.29}
{'loss': 2.7756, 'grad_norm': 0.2893039286136627, 'learning_rate': 7.081481481481483e-05, 'epoch': 0.32}
{'loss': 2.5801, 'grad_norm': 0.13586999475955963, 'learning_rate': 7.674074074074075e-05, 'epoch': 0.35}
{'loss': 2.4324, 'grad_norm': 0.08942382037639618, 'learning_rate': 7.999592172037733e-05, 'epoch': 0.37}
{'loss': 2.3758, 'grad_norm': 0.10231300443410873, 'learning_rate': 7.995766313163572e-05, 'epoch': 0.4}
{'eval_loss': 2.316697359085083, 'eval_runtime': 58.2993, 'eval_samples_per_second': 13.722, 'eval_steps_per_second': 6.861, 'epoch': 0.4}
{'loss': 2.3206, 'grad_norm': 0.10526122897863388, 'learning_rate': 7.98791705631866e-05, 'epoch': 0.43}
{'loss': 2.1793, 'grad_norm': 0.08118416368961334, 'learning_rate': 7.97605230503929e-05, 'epoch': 0.45}
{'loss': 2.1072, 'grad_norm': 0.10231395810842514, 'learning_rate': 7.960184006124267e-05, 'epoch': 0.48}
{'loss': 2.0679, 'grad_norm': 0.09085499495267868, 'learning_rate': 7.9403281376055e-05, 'epoch': 0.51}
{'loss': 2.0307, 'grad_norm': 0.1271514743566513, 'learning_rate': 7.916504692659478e-05, 'epoch': 0.53}
{'loss': 2.08, 'grad_norm': 0.12580294907093048, 'learning_rate': 7.888737659475835e-05, 'epoch': 0.56}
{'loss': 2.0407, 'grad_norm': 0.09793682396411896, 'learning_rate': 7.857054997103277e-05, 'epoch': 0.59}
{'loss': 2.06, 'grad_norm': 0.1131896898150444, 'learning_rate': 7.821488607297188e-05, 'epoch': 0.61}
{'loss': 2.0071, 'grad_norm': 0.09469928592443466, 'learning_rate': 7.782074302397268e-05, 'epoch': 0.64}
{'loss': 1.9802, 'grad_norm': 0.08995180577039719, 'learning_rate': 7.738851769267544e-05, 'epoch': 0.67}
{'loss': 1.9783, 'grad_norm': 0.10928674042224884, 'learning_rate': 7.691864529335064e-05, 'epoch': 0.69}
{'loss': 1.9692, 'grad_norm': 0.08047576993703842, 'learning_rate': 7.641159894767497e-05, 'epoch': 0.72}
{'loss': 1.9344, 'grad_norm': 0.08514201641082764, 'learning_rate': 7.586788920833806e-05, 'epoch': 0.75}
{'loss': 1.9609, 'grad_norm': 0.07886587083339691, 'learning_rate': 7.528806354495916e-05, 'epoch': 0.77}
{'loss': 1.9241, 'grad_norm': 0.0867357924580574, 'learning_rate': 7.467270579283153e-05, 'epoch': 0.8}
{'eval_loss': 1.933626413345337, 'eval_runtime': 54.7919, 'eval_samples_per_second': 14.601, 'eval_steps_per_second': 7.3, 'epoch': 0.8}
{'loss': 1.969, 'grad_norm': 0.09021115303039551, 'learning_rate': 7.402243556504995e-05, 'epoch': 0.83}
{'loss': 1.8982, 'grad_norm': 0.09050693362951279, 'learning_rate': 7.333790762861271e-05, 'epoch': 0.85}
{'loss': 1.8652, 'grad_norm': 0.0987355187535286, 'learning_rate': 7.261981124512689e-05, 'epoch': 0.88}
{'loss': 1.8882, 'grad_norm': 0.12418284267187119, 'learning_rate': 7.186886947678023e-05, 'epoch': 0.91}
{'loss': 1.9447, 'grad_norm': 0.08485572785139084, 'learning_rate': 7.108583845827884e-05, 'epoch': 0.93}
{'loss': 1.9214, 'grad_norm': 0.08765125274658203, 'learning_rate': 7.027150663548367e-05, 'epoch': 0.96}
{'loss': 1.8795, 'grad_norm': 0.12904179096221924, 'learning_rate': 6.942669397151229e-05, 'epoch': 0.99}
{'loss': 1.8984, 'grad_norm': 0.08854029327630997, 'learning_rate': 6.855225112110562e-05, 'epoch': 1.01}
{'loss': 1.8828, 'grad_norm': 0.10064121335744858, 'learning_rate': 6.764905857409072e-05, 'epoch': 1.04}
{'loss': 1.8315, 'grad_norm': 0.09983081370592117, 'learning_rate': 6.671802576880203e-05, 'epoch': 1.07}
{'loss': 1.8795, 'grad_norm': 0.11030459403991699, 'learning_rate': 6.576009017635421e-05, 'epoch': 1.09}
{'loss': 1.9185, 'grad_norm': 0.1027558296918869, 'learning_rate': 6.477621635668817e-05, 'epoch': 1.12}
{'loss': 1.8965, 'grad_norm': 0.09925543516874313, 'learning_rate': 6.376739498734086e-05, 'epoch': 1.15}
{'loss': 1.8408, 'grad_norm': 0.138000950217247, 'learning_rate': 6.27346418659171e-05, 'epoch': 1.17}
{'loss': 1.881, 'grad_norm': 0.09170172363519669, 'learning_rate': 6.167899688726744e-05, 'epoch': 1.2}
{'eval_loss': 1.880973219871521, 'eval_runtime': 53.8459, 'eval_samples_per_second': 14.857, 'eval_steps_per_second': 7.429, 'epoch': 1.2}
{'loss': 1.8494, 'grad_norm': 0.10500191152095795, 'learning_rate': 6.060152299640218e-05, 'epoch': 1.23}
{'loss': 1.9073, 'grad_norm': 0.09980408102273941, 'learning_rate': 5.9503305118195855e-05, 'epoch': 1.25}
{'loss': 1.8981, 'grad_norm': 0.14110714197158813, 'learning_rate': 5.83854490649599e-05, 'epoch': 1.28}
{'loss': 1.8622, 'grad_norm': 0.13309967517852783, 'learning_rate': 5.7249080422983316e-05, 'epoch': 1.31}
{'loss': 1.8628, 'grad_norm': 0.11294171214103699, 'learning_rate': 5.609534341916273e-05, 'epoch': 1.33}
{'loss': 1.9094, 'grad_norm': 0.10882949084043503, 'learning_rate': 5.492539976886287e-05, 'epoch': 1.36}
{'loss': 1.866, 'grad_norm': 0.08711612969636917, 'learning_rate': 5.374042750616773e-05, 'epoch': 1.39}
{'loss': 1.864, 'grad_norm': 0.12745559215545654, 'learning_rate': 5.254161979770006e-05, 'epoch': 1.41}
{'loss': 1.8881, 'grad_norm': 0.0973941832780838, 'learning_rate': 5.133018374120368e-05, 'epoch': 1.44}
{'loss': 1.8798, 'grad_norm': 0.12343139946460724, 'learning_rate': 5.010733915009846e-05, 'epoch': 1.47}
{'loss': 1.8448, 'grad_norm': 0.10328754782676697, 'learning_rate': 4.8874317325231555e-05, 'epoch': 1.49}
{'loss': 1.8546, 'grad_norm': 0.09972362220287323, 'learning_rate': 4.76323598150618e-05, 'epoch': 1.52}
{'loss': 1.8378, 'grad_norm': 0.10480430722236633, 'learning_rate': 4.638271716552572e-05, 'epoch': 1.55}
{'loss': 1.8571, 'grad_norm': 0.10472682118415833, 'learning_rate': 4.5126647660843726e-05, 'epoch': 1.57}
{'loss': 1.8408, 'grad_norm': 0.09699150919914246, 'learning_rate': 4.386541605653456e-05, 'epoch': 1.6}
{'eval_loss': 1.870429277420044, 'eval_runtime': 53.941, 'eval_samples_per_second': 14.831, 'eval_steps_per_second': 7.416, 'epoch': 1.6}
{'loss': 1.821, 'grad_norm': 0.11879419535398483, 'learning_rate': 4.2600292305913766e-05, 'epoch': 1.63}
{'loss': 1.8716, 'grad_norm': 0.10343438386917114, 'learning_rate': 4.133255028135825e-05, 'epoch': 1.65}
{'loss': 1.8507, 'grad_norm': 0.12108543515205383, 'learning_rate': 4.006346649162486e-05, 'epoch': 1.68}
{'loss': 1.8472, 'grad_norm': 0.10619368404150009, 'learning_rate': 3.879431879651423e-05, 'epoch': 1.71}
{'loss': 1.9237, 'grad_norm': 0.10883843898773193, 'learning_rate': 3.7526385120174296e-05, 'epoch': 1.73}
{'loss': 1.8273, 'grad_norm': 0.13986721634864807, 'learning_rate': 3.626094216433898e-05, 'epoch': 1.76}
{'loss': 1.8701, 'grad_norm': 0.10242625325918198, 'learning_rate': 3.4999264122797826e-05, 'epoch': 1.79}
{'loss': 1.8699, 'grad_norm': 0.09840940684080124, 'learning_rate': 3.374262139839076e-05, 'epoch': 1.81}
{'loss': 1.8525, 'grad_norm': 0.11823449283838272, 'learning_rate': 3.2492279323820265e-05, 'epoch': 1.84}
{'loss': 1.8355, 'grad_norm': 0.11251699924468994, 'learning_rate': 3.124949688756846e-05, 'epoch': 1.87}
{'loss': 1.8239, 'grad_norm': 0.11721304059028625, 'learning_rate': 3.0015525466202468e-05, 'epoch': 1.89}
{'loss': 1.8611, 'grad_norm': 0.1092456579208374, 'learning_rate': 2.879160756434436e-05, 'epoch': 1.92}
{'loss': 1.8328, 'grad_norm': 0.1106901541352272, 'learning_rate': 2.7578975563574198e-05, 'epoch': 1.95}
{'loss': 1.854, 'grad_norm': 0.11239587515592575, 'learning_rate': 2.6378850481526374e-05, 'epoch': 1.97}
{'loss': 1.8583, 'grad_norm': 0.10781577974557877, 'learning_rate': 2.519244074242825e-05, 'epoch': 2.0}
{'eval_loss': 1.8652551174163818, 'eval_runtime': 54.2927, 'eval_samples_per_second': 14.735, 'eval_steps_per_second': 7.367, 'epoch': 2.0}
{'loss': 1.8728, 'grad_norm': 0.12007834762334824, 'learning_rate': 2.402094096031944e-05, 'epoch': 2.03}
{'loss': 1.8712, 'grad_norm': 0.12531296908855438, 'learning_rate': 2.2865530736176763e-05, 'epoch': 2.05}
{'loss': 1.8445, 'grad_norm': 0.11249671131372452, 'learning_rate': 2.172737347015597e-05, 'epoch': 2.08}
{'loss': 1.8251, 'grad_norm': 0.11410825699567795, 'learning_rate': 2.0607615190146523e-05, 'epoch': 2.11}
{'loss': 1.8448, 'grad_norm': 0.11079570651054382, 'learning_rate': 1.9507383397818523e-05, 'epoch': 2.13}
{'loss': 1.8355, 'grad_norm': 0.1185457855463028, 'learning_rate': 1.8427785933324197e-05, 'epoch': 2.16}
{'loss': 1.8398, 'grad_norm': 0.11536671221256256, 'learning_rate': 1.7369909859796727e-05, 'epoch': 2.19}
{'loss': 1.8436, 'grad_norm': 0.14489619433879852, 'learning_rate': 1.6334820368769827e-05, 'epoch': 2.21}
{'loss': 1.8343, 'grad_norm': 0.11914119124412537, 'learning_rate': 1.5323559707620216e-05, 'epoch': 2.24}
{'loss': 1.7746, 'grad_norm': 0.11881159245967865, 'learning_rate': 1.4337146130112736e-05, 'epoch': 2.27}
{'loss': 1.8458, 'grad_norm': 0.12574821710586548, 'learning_rate': 1.3376572871105276e-05, 'epoch': 2.29}
{'loss': 1.8833, 'grad_norm': 0.12256226688623428, 'learning_rate': 1.2442807146445332e-05, 'epoch': 2.32}
{'loss': 1.8605, 'grad_norm': 0.12338514626026154, 'learning_rate': 1.1536789179065702e-05, 'epoch': 2.35}
{'loss': 1.836, 'grad_norm': 0.12246796488761902, 'learning_rate': 1.0659431252259686e-05, 'epoch': 2.37}
{'loss': 1.8683, 'grad_norm': 0.12090381979942322, 'learning_rate': 9.81161679108912e-06, 'epoch': 2.4}
{'eval_loss': 1.8630305528640747, 'eval_runtime': 54.0945, 'eval_samples_per_second': 14.789, 'eval_steps_per_second': 7.394, 'epoch': 2.4}
{'loss': 1.8813, 'grad_norm': 0.11653299629688263, 'learning_rate': 8.99419947285027e-06, 'epoch': 2.43}
{'loss': 1.8667, 'grad_norm': 0.11306848376989365, 'learning_rate': 8.20800236749308e-06, 'epoch': 2.45}
{'loss': 1.8367, 'grad_norm': 0.1007581427693367, 'learning_rate': 7.453817108859591e-06, 'epoch': 2.48}
{'loss': 1.8408, 'grad_norm': 0.11122339218854904, 'learning_rate': 6.7324030975756925e-06, 'epoch': 2.51}
{'loss': 1.8425, 'grad_norm': 0.10713756084442139, 'learning_rate': 6.044486736399098e-06, 'epoch': 2.53}
{'loss': 1.8527, 'grad_norm': 0.09729506820440292, 'learning_rate': 5.39076069879334e-06, 'epoch': 2.56}
{'loss': 1.86, 'grad_norm': 0.11170732229948044, 'learning_rate': 4.771883231464292e-06, 'epoch': 2.59}
{'loss': 1.8327, 'grad_norm': 0.1230931356549263, 'learning_rate': 4.18847749156158e-06, 'epoch': 2.61}
{'loss': 1.8265, 'grad_norm': 0.1294725090265274, 'learning_rate': 3.6411309192120905e-06, 'epoch': 2.64}
{'loss': 1.8645, 'grad_norm': 0.10341295599937439, 'learning_rate': 3.130394646017587e-06, 'epoch': 2.67}
{'loss': 1.83, 'grad_norm': 0.11223915219306946, 'learning_rate': 2.656782940111935e-06, 'epoch': 2.69}
{'loss': 1.8306, 'grad_norm': 0.11680437624454498, 'learning_rate': 2.2207726883366164e-06, 'epoch': 2.72}
{'loss': 1.8938, 'grad_norm': 0.10145089775323868, 'learning_rate': 1.822802916056179e-06, 'epoch': 2.75}
{'loss': 1.8543, 'grad_norm': 0.14093805849552155, 'learning_rate': 1.463274345096841e-06, 'epoch': 2.77}
{'loss': 1.8513, 'grad_norm': 0.11556927114725113, 'learning_rate': 1.1425489902536424e-06, 'epoch': 2.8}
{'eval_loss': 1.8620872497558594, 'eval_runtime': 54.1314, 'eval_samples_per_second': 14.779, 'eval_steps_per_second': 7.389, 'epoch': 2.8}
