{'loss': 2.9894, 'grad_norm': 2.695265769958496, 'learning_rate': 4.444444444444445e-06, 'epoch': 0.03}
{'loss': 2.7682, 'grad_norm': 2.3155415058135986, 'learning_rate': 8.88888888888889e-06, 'epoch': 0.05}
{'loss': 2.3693, 'grad_norm': 1.6702947616577148, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.08}
{'loss': 1.9874, 'grad_norm': 0.532553493976593, 'learning_rate': 1.777777777777778e-05, 'epoch': 0.11}
{'loss': 1.9436, 'grad_norm': 0.39379847049713135, 'learning_rate': 2.2222222222222223e-05, 'epoch': 0.13}
{'loss': 1.8917, 'grad_norm': 0.351007342338562, 'learning_rate': 2.6666666666666667e-05, 'epoch': 0.16}
{'loss': 1.9238, 'grad_norm': 0.4033900201320648, 'learning_rate': 3.111111111111111e-05, 'epoch': 0.19}
{'loss': 1.8961, 'grad_norm': 0.38421961665153503, 'learning_rate': 3.555555555555556e-05, 'epoch': 0.21}
{'loss': 1.8471, 'grad_norm': 0.4952845275402069, 'learning_rate': 4e-05, 'epoch': 0.24}
{'loss': 1.9032, 'grad_norm': 0.3728059232234955, 'learning_rate': 4.4444444444444447e-05, 'epoch': 0.27}
{'loss': 1.8409, 'grad_norm': 0.45420151948928833, 'learning_rate': 4.888888888888889e-05, 'epoch': 0.29}
{'loss': 1.8577, 'grad_norm': 0.5050125122070312, 'learning_rate': 4.9993231029486544e-05, 'epoch': 0.32}
{'loss': 1.8552, 'grad_norm': 0.4656403958797455, 'learning_rate': 4.9963154107272295e-05, 'epoch': 0.35}
{'loss': 1.8475, 'grad_norm': 0.40618306398391724, 'learning_rate': 4.9909046049328846e-05, 'epoch': 0.37}
{'loss': 1.8828, 'grad_norm': 0.4921815097332001, 'learning_rate': 4.983095894354858e-05, 'epoch': 0.4}
{'eval_loss': 1.8638607263565063, 'eval_runtime': 31.6386, 'eval_samples_per_second': 25.286, 'eval_steps_per_second': 12.643, 'epoch': 0.4}
{'loss': 1.9067, 'grad_norm': 0.45665279030799866, 'learning_rate': 4.972896796159568e-05, 'epoch': 0.43}
{'loss': 1.8294, 'grad_norm': 0.48460403084754944, 'learning_rate': 4.960317128654108e-05, 'epoch': 0.45}
{'loss': 1.8228, 'grad_norm': 0.4895496368408203, 'learning_rate': 4.9453690018345144e-05, 'epoch': 0.48}
